codigo,especialidad
DIB,DIBUJANTE
DIR,DIRECTOR
DIS,DISEÑADOR
DOC,DOCENTE
DRA,DRAMATURGO
EBA,EBANISTA
ECO,ECONOMIA INFORMAL
ECN,ECONOMISTA
ELE,ELECTROMECANICO
ELT,ELECTRICISTA
ETR,ELECTRONICA
EMP,EMPAQUETADOR
EPL,EMPLEADO
EMD,EMPLEADO DOMESTICO
EMP,EMPLEADO PUBLICO
EMR,EMPREASARIO
ENC,ENCARCADO
ECU,ENCUELLADOR
ENF,ENFERMERO
ENT,ENTRENADOR
ESC,ESCOLTA
ESU,ESCULTOR
EST,ESTADISTA
EAM,ESTAMPADOR
ETL,ESTILISTA
ETU,ESTUDIANTE
EVA,EVALUADOR DE RIESGO
FAB,FABRICA DE PANTALONES
FCL,FACILITADOR
FAR,FARMACEUTA
FIS,FISCAL DE RENTA
FTR,FISCAL DE TRANSITO
FIP,FISIOTERAPEUTA
FOT,FOTOGRAFO
GEO,GEOLOGA
GER,GERENTE
GAD,GERENTE DE ADMINISTRACION
GAB,GERENTE DE ALIMENTOS Y BEBIDAS
GCV,GERENTE DE COMPRA- VENTA
GME,GERENTE DE MERCADEO
GOP,GERENTE DE OPERACIONES
GPR,GERENTE DE PROCESO
GRH,GERENTE DE RECURSOS HUMANOS
GHF,GERENTE DE UN HOTEL FAMILIAR
GES,GESTOR
GPA,GUARDIA PATRIMONIAL
HER,HERRERO
HIG,HIGIENISTA
HID,HIGIENISTA DENTAL
INF,INFORMATICA
INC,INGENIERO CIVIL
INE,INGENIERO ELECTRONICO
INI,INGENIERO INDUSTRIAL
INM,INGENIERO METALURGICO
INS,INSPECTOR
INT,INSTRUCTOR
JAR,JARDINERO
JEA,JEFE DE ALMACEN
JER,JEFE DE ARCHIVO
JEP,JEFE DE PERSONAL
JEN,JEFE DE PRENSA
JEV,JEFE DE VENTAS
LAP,LATONERIA Y PINTURA
LIC,LICENCIADO
LIE,LICENCIADO EN ENFERMERIA
LIT,LITOGRAFO
LOC,LOCUTOR
LUN,LUNCHERO
MAM,MAESTRO DE ARTE MARCIALES
MAO,MAESTRO DE OBRA
MPA,MAESTRO PANADERO
MAN,MANICURISTA
MAA,MANIPULACION DE ALIMENTOS
MAT,MANTENIMIENTO
MMA,MANTENIMIENTO DE MAQUINA
MNA,MANUALIDADES
MAR,MARMOLERO
MAS,MASAJISTA
MAT,MATERNAL
MEC,MECANICO
MED,MEDICO CIRUJANO
MEN,MENSAJERO
MEM,MENSAJERO MOTORIZADO
MES,MESOTERAPEUTA
MET,METRO DE CARACAS
MIL,MILITAR
MON,MONTADOR DE CARGA
MON,MOTORISTA NAVAL
MOT,MOTORIZADO
MTT,MOTOTAXI
MUS,MUSICO
NIN,NINGUNA
NIR,NIÑERA
NUT,NUTRICIONISTA
OBR,OBRERO
OFI,OFICINISTA
OPER,OPERADOR
OPM,OPERADOR DE MAQUINA
OPC,OPERADOR DE MICROFILM
OPP,OPERADOR PRODUCCION
OPT,OPERADORA DE MANTENIMIENTO
OPO,OPTOMETRISTA
ORF,ORFEBRE
ORIE,ORIENTADOR
ORT,ORTOPEDISTA
PAN,PANADERO
PAS,PASTELERO
PAT,PATRON
PEL,PELUQUERO O BARBERO
PER,PERIODISTA
PEA,PERITO AUTOMOTRIZ
PES,PESCADOR
PIL,PILOTO
PIN,PINTOR
PLO,PLOMERO
POL,POLICÍA
PRO,PRODUCTOR
PTV,PRODUCTOR DE RADIO Y TV
PRF,PROFESOR
PTD,PROFESOR DE TAREA DIRIGIDA
PDD,PROFESOR DE DANZA
PRO,PROMOTOR
PCO,PROMOTOR COMUNITARIO
PCU,PROMOTOR CULTURAL
